Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
920000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
989000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
20000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
52000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
52000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
52000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
89000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
99000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
99000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
99000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
100000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
121000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
189000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
221000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
271000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
271000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
271000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
289000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
298000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
299000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
299000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
299000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
319000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
389000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
420000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
489000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
499000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
499000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
499000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
599000,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
643000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
700000,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
711000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
711000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
712000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
743000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
799000,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
843000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
899000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
0,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
931000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
943000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
44000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
99000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
99000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
100000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
100000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
100000,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
143000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
151000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
151000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
152000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
199000,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
244000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
300000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
300000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
300000,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
343000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
371000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
399000,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
443000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
499000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
499000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
543000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
592000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
599000,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
642000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
699000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
744000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
799000,0000060D,false,Rx,0,8,0D,11,82,B6,09,20,70,00,
0,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
843000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
899000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
